,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
1,10002,Max Guercy,SO,2013-14,G,Rice,CUSA,30,930,31.0,2.7,7.9,1.5,3.8,1.2,4.1,2.6,3.2,0.8,2.5,3.3,3.2,0.7,0.0,1.8,1.5,9.3,12.0,.495,.426,3.1,9.3,6.2,24.2,1.5,0.0,16.1,19.9,303,99.9,108.5,0.7,0.9,1.5,-0.5,-1.3,-1.8
2,10003,Tommy Hamilton,FR,2013-14,C,DePaul,Big East,32,786,24.6,2.7,6.7,2.1,5.1,0.6,1.7,1.8,2.5,1.5,3.4,4.8,0.8,0.5,0.6,1.9,2.4,7.7,11.2,.488,.440,6.7,17.6,11.7,6.7,1.2,2.8,19.2,20.1,242,94.0,111.6,0.1,0.5,0.6,-2.1,0.2,-1.8
3,10004,Jay Harris,SO,2011-12,G,Valparaiso,Horizon,31,793,25.6,3.0,7.5,1.7,3.1,1.3,4.4,1.6,1.8,0.3,1.6,1.9,2.6,0.6,0.1,1.9,1.3,9.0,13.7,.534,.489,1.7,8.0,5.0,22.2,1.6,0.4,18.5,22.0,280,101.9,106.3,1.1,0.6,1.7,0.9,-2.6,-1.8
4,10005,Matt Harris,FR,2014-15,G,Massachusetts-Lowell,AEC,26,534,20.5,3.0,7.1,1.2,2.2,1.8,4.9,1.1,1.5,0.4,1.4,1.8,0.8,0.7,0.1,0.9,1.5,8.8,16.6,.566,.543,2.3,9.2,5.6,10.0,2.0,0.5,10.6,23.7,199,106.2,104.8,0.9,0.6,1.5,1.7,-3.5,-1.8
5,10006,Kevin Hervey,FR,2014-15,F,Texas-Arlington,Sun Belt,31,673,21.7,2.5,6.8,1.6,3.2,0.9,3.6,1.1,1.6,1.9,4.1,6.0,0.7,0.6,0.3,1.4,2.0,7.1,13.4,.468,.436,10.0,19.8,15.1,6.7,1.6,1.4,15.1,20.1,224,97.3,99.7,0.5,1.0,1.5,-1.1,-0.7,-1.8
6,10007,Stephan Hicks,FR,2011-12,G,Cal State Northridge,Big West,28,840,30.0,4.9,11.0,4.3,8.9,0.5,2.2,4.8,5.9,2.8,4.3,7.1,1.0,0.9,0.1,2.0,2.5,15.1,21.0,.544,.464,9.5,20.0,14.0,8.2,1.7,0.3,12.8,25.4,391,111.9,109.1,2.3,0.4,2.7,1.4,-3.3,-1.8
7,10008,Jerome Hill,SO,2013-14,F,Gardner-Webb,Big South,31,909,29.3,5.0,10.1,5.0,10.1,0.0,0.1,4.5,6.9,3.3,5.2,8.5,1.3,0.8,0.5,2.0,2.5,14.4,22.1,.537,.490,12.8,21.6,17.1,9.7,1.6,1.6,13.0,26.7,438,110.5,100.4,2.1,1.5,3.6,-1.4,-0.4,-1.8
8,10009,Adnan Hodzic,SR,2010-11,C,Lipscomb,A-Sun,30,949,31.6,6.9,12.2,6.8,11.9,0.0,0.3,4.0,5.5,2.3,5.2,7.5,1.0,0.3,0.1,2.2,2.4,17.7,22.1,.599,.564,8.1,18.0,13.1,7.3,0.5,0.2,12.9,25.6,469,115.7,105.1,2.9,0.9,3.8,1.4,-3.2,-1.8
9,10010,Anthony Holliday,SR,2014-15,G,Lamar,Southland,29,828,28.6,4.7,9.6,3.7,7.0,0.9,2.6,4.4,5.7,0.4,1.5,1.9,3.4,1.1,0.2,2.8,2.2,14.7,20.4,.597,.534,1.7,6.2,3.9,26.3,2.2,0.8,18.7,25.9,412,113.2,107.2,2.4,0.7,3.1,1.9,-3.7,-1.8
10,10011,Dante Holmes,SR,2015-16,G,North Carolina Central,MEAC,29,975,33.6,5.2,12.9,2.7,6.1,2.6,6.8,2.5,3.7,1.0,3.9,4.9,1.8,1.0,0.1,2.1,3.4,15.5,15.6,.529,.503,3.2,13.1,8.1,11.8,1.8,0.2,12.4,24.8,402,106.6,104.0,1.6,1.2,2.8,0.5,-2.3,-1.8
11,10012,Denver Holmes,JR,2010-11,G,Evansville,MVC,32,808,25.3,2.4,5.7,1.8,4.0,0.7,1.7,2.2,2.9,0.1,2.0,2.1,2.8,0.3,0.1,1.9,2.5,7.8,10.8,.545,.486,0.5,10.4,5.4,23.6,0.7,0.3,21.4,19.4,254,98.7,106.1,0.7,0.7,1.4,-0.5,-1.2,-1.8
12,10013,Andre Horne Jr.,JR,2015-16,G,Morgan State,MEAC,26,583,22.4,3.2,8.2,1.9,4.4,1.3,3.8,1.9,2.4,1.0,1.4,2.5,1.3,0.8,0.2,1.5,3.1,9.5,14.0,.510,.467,4.7,7.4,6.0,13.1,2.1,0.9,13.5,23.7,233,102.3,105.4,0.7,0.7,1.4,0.1,-1.9,-1.8
13,10014,Marquis Horne,SR,2013-14,F,Cal State Fullerton,Big West,30,671,22.4,3.1,7.5,2.2,5.1,0.8,2.4,1.2,1.7,1.3,3.1,4.3,1.0,0.6,0.3,1.3,2.4,8.1,13.6,.492,.467,6.3,16.8,11.3,9.6,1.5,1.6,13.9,22.2,236,98.6,106.3,0.4,0.8,1.2,-1.5,-0.3,-1.8
14,10015,Tim Huskisson,SO,2012-13,F,Northern Colorado,Big Sky,31,757,24.4,2.8,6.4,2.3,4.5,0.5,1.9,1.4,2.4,1.3,2.4,3.7,1.7,1.0,0.6,1.7,2.8,7.6,14.0,.502,.482,6.6,12.5,9.4,13.4,2.4,2.8,18.5,19.7,246,99.5,106.5,0.8,0.5,1.3,-1.3,-0.5,-1.8
